,comp1,comp2,w
3360,2020.comp.411,2020.comp.601702,1
3361,2020.comp.411,2020.comp.600829,1
3362,2020.comp.411,2020.comp.300772,1
3363,2020.comp.600572,2020.comp.607,1
3364,2020.comp.600572,2020.comp.411,2
3365,2020.comp.600572,2020.comp.600572,28
3366,2020.comp.600572,2020.comp.600056,1
3367,2020.comp.600572,2020.comp.603168,1
3368,2020.comp.600572,2020.comp.300347,2
3369,2012.comp.413,2012.comp.413,15
3370,2014.comp.413,2014.comp.413,20
3371,2014.comp.413,2014.comp.709,2
3372,2014.comp.413,2014.comp.2362,1
3373,2014.comp.413,2014.comp.600135,1
3374,2014.comp.413,2014.comp.600550,1
3375,2015.comp.413,2015.comp.416,1
3376,2015.comp.413,2015.comp.413,19
3377,2015.comp.413,2015.comp.709,1
3378,2015.comp.413,2015.comp.600135,1
3379,2015.comp.413,2015.comp.600658,1
3380,2015.comp.783,2015.comp.46,1
3381,2015.comp.783,2015.comp.783,28
3382,2015.comp.783,2015.comp.883,1
3383,2015.comp.783,2015.comp.966,1
3384,2015.comp.783,2015.comp.600030,1
3385,2015.comp.783,2015.comp.600058,1
3386,2016.comp.413,2016.comp.416,1
3387,2016.comp.413,2016.comp.413,22
3388,2016.comp.413,2016.comp.709,1
3389,2016.comp.413,2016.comp.600135,1
3390,2016.comp.413,2016.comp.600658,1
3391,2017.comp.413,2017.comp.416,1
3392,2017.comp.413,2017.comp.413,17
3393,2017.comp.413,2017.comp.709,1
3394,2017.comp.413,2017.comp.600658,1
3395,2017.comp.40,2017.comp.9,1
3396,2017.comp.40,2017.comp.40,18
3397,2017.comp.40,2017.comp.958,1
3398,2018.comp.413,2018.comp.416,1
3399,2018.comp.413,2018.comp.413,21
3400,2018.comp.413,2018.comp.709,1
3401,2018.comp.413,2018.comp.600658,1
3402,2018.comp.40,2018.comp.9,1
3403,2018.comp.40,2018.comp.40,28
3404,2018.comp.40,2018.comp.2763,1
3405,2018.comp.40,2018.comp.2217,1
3406,2011.comp.415,2011.comp.415,22
3407,2011.comp.415,2011.comp.600221,1
3408,2011.comp.600221,2011.comp.415,1
3409,2011.comp.600221,2011.comp.600221,19
3410,2011.comp.600221,2011.comp.613,1
3411,2011.comp.600221,2011.comp.735,1
3412,2012.comp.415,2012.comp.415,17
3413,2012.comp.600221,2012.comp.600221,24
3414,2012.comp.600221,2012.comp.613,1
3415,2012.comp.600221,2012.comp.735,2
3416,2013.comp.415,2013.comp.415,15
3417,2013.comp.600751,2013.comp.600751,25
3418,2013.comp.600751,2013.comp.564,1
3419,2013.comp.600221,2013.comp.600221,19
3420,2013.comp.600221,2013.comp.735,1
3421,2014.comp.415,2014.comp.415,19
3422,2014.comp.600221,2014.comp.600221,20
3423,2014.comp.600221,2014.comp.600751,1
3424,2014.comp.600221,2014.comp.735,1
3425,2014.comp.600221,2014.comp.796,1
3426,2014.comp.600751,2014.comp.600221,1
3427,2014.comp.600751,2014.comp.600751,21
3428,2014.comp.600751,2014.comp.735,1
3429,2014.comp.600751,2014.comp.600515,1
3430,2014.comp.600751,2014.comp.616,2
3431,2015.comp.415,2015.comp.415,23
3432,2015.comp.600221,2015.comp.600221,17
3433,2015.comp.600221,2015.comp.600751,1
3434,2015.comp.600221,2015.comp.796,2
3435,2015.comp.600221,2015.comp.735,1
3436,2015.comp.600751,2015.comp.600221,1
3437,2015.comp.600751,2015.comp.600751,17
3438,2015.comp.600751,2015.comp.735,1
3439,2015.comp.600751,2015.comp.616,1
3440,2015.comp.600751,2015.comp.600515,1
3441,2016.comp.415,2016.comp.415,25
3442,2016.comp.600221,2016.comp.600221,27
3443,2016.comp.600221,2016.comp.600751,2
3444,2016.comp.600221,2016.comp.735,1
3445,2016.comp.600221,2016.comp.796,2
3446,2016.comp.600221,2016.comp.886,1
3447,2016.comp.600221,2016.comp.600500,1
3448,2016.comp.600751,2016.comp.600221,2
3449,2016.comp.600751,2016.comp.600751,19
3450,2016.comp.600751,2016.comp.735,1
3451,2016.comp.600751,2016.comp.2281,1
3452,2016.comp.600751,2016.comp.300189,1
3453,2016.comp.600751,2016.comp.600515,1
3454,2017.comp.415,2017.comp.415,20
3455,2017.comp.600221,2017.comp.600221,32
3456,2017.comp.600221,2017.comp.600751,1
3457,2017.comp.600221,2017.comp.831,1
3458,2017.comp.600221,2017.comp.603357,1
3459,2017.comp.600221,2017.comp.600500,1
3460,2017.comp.600221,2017.comp.601608,1
3461,2017.comp.600751,2017.comp.600221,1
3462,2017.comp.600751,2017.comp.600751,30
3463,2017.comp.600751,2017.comp.600515,1
3464,2017.comp.600751,2017.comp.2281,1
3465,2017.comp.600751,2017.comp.603766,1
3466,2018.comp.415,2018.comp.415,26
3467,2018.comp.600221,2018.comp.600221,38
3468,2018.comp.600221,2018.comp.603357,1
3469,2018.comp.600221,2018.comp.600500,1
3470,2018.comp.600221,2018.comp.601608,1
3471,2018.comp.600751,2018.comp.600751,22
3472,2018.comp.600751,2018.comp.2281,1
3473,2018.comp.2763,2018.comp.40,1
3474,2018.comp.2763,2018.comp.2763,18
3475,2019.comp.415,2019.comp.415,17
3476,2019.comp.600221,2019.comp.600221,28
3477,2019.comp.600221,2019.comp.585,2
3478,2019.comp.600221,2019.comp.601608,1
3479,2019.comp.600221,2019.comp.600500,1
3480,2019.comp.600751,2019.comp.600751,20
3481,2019.comp.600751,2019.comp.564,1
3482,2019.comp.600751,2019.comp.2281,1
3483,2020.comp.415,2020.comp.415,16
3484,2020.comp.600221,2020.comp.600221,23
3485,2020.comp.600221,2020.comp.585,1
3486,2020.comp.600221,2020.comp.601608,1
3487,2020.comp.600221,2020.comp.796,1
3488,2020.comp.600221,2020.comp.600500,1
3489,2020.comp.600221,2020.comp.601360,1
3490,2009.comp.418,2009.comp.418,16
3491,2009.comp.418,2009.comp.527,2
3492,2009.comp.527,2009.comp.418,2
3493,2009.comp.527,2009.comp.527,13
3494,2009.comp.527,2009.comp.600004,1
3495,2010.comp.418,2010.comp.418,17
3496,2010.comp.418,2010.comp.527,2
3497,2010.comp.527,2010.comp.418,2
3498,2010.comp.527,2010.comp.527,15
3499,2010.comp.527,2010.comp.600004,1
3500,2011.comp.418,2011.comp.418,19
3501,2011.comp.418,2011.comp.527,2
3502,2011.comp.527,2011.comp.418,2
3503,2011.comp.527,2011.comp.527,14
3504,2012.comp.418,2012.comp.418,21
3505,2012.comp.418,2012.comp.527,4
3506,2012.comp.527,2012.comp.418,4
3507,2012.comp.527,2012.comp.527,16
3508,2013.comp.418,2013.comp.333,2
3509,2013.comp.418,2013.comp.418,16
3510,2014.comp.418,2014.comp.418,22
3511,2014.comp.418,2014.comp.333,2
3512,2014.comp.333,2014.comp.418,2
3513,2014.comp.333,2014.comp.333,26
3514,2014.comp.333,2014.comp.600755,1
3515,2014.comp.333,2014.comp.600057,1
3516,2014.comp.333,2014.comp.600685,1
3517,2015.comp.418,2015.comp.333,1
3518,2015.comp.418,2015.comp.418,17
3519,2016.comp.418,2016.comp.333,3
3520,2016.comp.418,2016.comp.418,13
3521,2016.comp.418,2016.comp.2137,1
3522,2017.comp.418,2017.comp.418,13
3523,2017.comp.418,2017.comp.333,3
3524,2017.comp.418,2017.comp.2137,1
3525,2017.comp.418,2017.comp.806,1
3526,2017.comp.333,2017.comp.418,3
3527,2017.comp.333,2017.comp.333,22
3528,2017.comp.333,2017.comp.532,1
3529,2017.comp.333,2017.comp.600755,1
3530,2017.comp.333,2017.comp.300687,1
3531,2017.comp.333,2017.comp.600026,1
3532,2018.comp.418,2018.comp.418,13
3533,2018.comp.418,2018.comp.333,3
3534,2018.comp.418,2018.comp.806,1
3535,2018.comp.333,2018.comp.418,3
3536,2018.comp.333,2018.comp.333,25
3537,2018.comp.333,2018.comp.600755,1
3538,2018.comp.333,2018.comp.600845,1
3539,2018.comp.333,2018.comp.300687,1
3540,2018.comp.333,2018.comp.600026,1
3541,2012.comp.420,2012.comp.420,19
3542,2012.comp.601599,2012.comp.601599,17
3543,2013.comp.420,2013.comp.45,1
3544,2013.comp.420,2013.comp.420,26
3545,2013.comp.420,2013.comp.600630,1
3546,2013.comp.601599,2013.comp.601599,17
3547,2012.comp.421,2012.comp.421,22
3548,2012.comp.421,2012.comp.600611,1
3549,2012.comp.421,2012.comp.919,1
3550,2012.comp.421,2012.comp.600713,1
3551,2012.comp.421,2012.comp.600530,1
3552,2012.comp.421,2012.comp.600635,1
3553,2012.comp.421,2012.comp.601788,1
3554,2012.comp.600611,2012.comp.421,1
3555,2012.comp.600611,2012.comp.600611,14
3556,2012.comp.600611,2012.comp.600073,1
3557,2012.comp.600611,2012.comp.600530,1
3558,2012.comp.600611,2012.comp.600635,3
3559,2012.comp.600611,2012.comp.601377,1
3560,2012.comp.600611,2012.comp.601788,1
3561,2013.comp.421,2013.comp.421,18
3562,2013.comp.421,2013.comp.919,1
3563,2013.comp.421,2013.comp.600713,1
3564,2013.comp.421,2013.comp.2454,2
3565,2013.comp.421,2013.comp.600635,1
3566,2013.comp.421,2013.comp.600611,1
3567,2013.comp.421,2013.comp.600530,1
3568,2013.comp.421,2013.comp.601788,1
3569,2008.comp.422,2008.comp.422,31
3570,2008.comp.422,2008.comp.707,2
3571,2008.comp.422,2008.comp.600332,1
3572,2008.comp.707,2008.comp.422,2
3573,2008.comp.707,2008.comp.707,16
3574,2009.comp.422,2009.comp.422,25
3575,2009.comp.422,2009.comp.707,2
3576,2009.comp.422,2009.comp.600332,1
3577,2009.comp.707,2009.comp.422,2
3578,2009.comp.707,2009.comp.707,14
3579,2010.comp.422,2010.comp.422,21
3580,2010.comp.422,2010.comp.707,2
3581,2010.comp.422,2010.comp.759,1
3582,2010.comp.422,2010.comp.600332,1
3583,2010.comp.707,2010.comp.422,2
3584,2010.comp.707,2010.comp.707,15
3585,2011.comp.422,2011.comp.422,23
3586,2011.comp.422,2011.comp.707,2
3587,2011.comp.422,2011.comp.600332,1
3588,2011.comp.707,2011.comp.422,2
3589,2011.comp.707,2011.comp.707,15
3590,2012.comp.422,2012.comp.422,26
3591,2012.comp.422,2012.comp.707,3
3592,2012.comp.422,2012.comp.600332,1
3593,2012.comp.707,2012.comp.422,3
3594,2012.comp.707,2012.comp.707,20
3595,2013.comp.422,2013.comp.422,19
3596,2013.comp.422,2013.comp.707,2
3597,2013.comp.707,2013.comp.422,2
3598,2013.comp.707,2013.comp.707,16
3599,2014.comp.422,2014.comp.422,20
3600,2014.comp.422,2014.comp.707,2
3601,2014.comp.707,2014.comp.422,2
3602,2014.comp.707,2014.comp.707,21
3603,2015.comp.422,2015.comp.422,19
3604,2015.comp.422,2015.comp.707,2
3605,2015.comp.422,2015.comp.300296,1
3606,2015.comp.707,2015.comp.422,2
3607,2015.comp.707,2015.comp.707,16
3608,2016.comp.422,2016.comp.422,19
3609,2016.comp.422,2016.comp.707,2
3610,2016.comp.707,2016.comp.422,2
3611,2016.comp.707,2016.comp.707,13
3612,2017.comp.422,2017.comp.422,21
3613,2017.comp.422,2017.comp.707,2
3614,2017.comp.707,2017.comp.422,2
3615,2017.comp.707,2017.comp.707,16
3616,2018.comp.422,2018.comp.422,21
3617,2018.comp.422,2018.comp.707,1
3618,2018.comp.707,2018.comp.422,1
3619,2018.comp.707,2018.comp.707,20
3620,2019.comp.422,2019.comp.422,14
3621,2019.comp.707,2019.comp.707,16
3622,2020.comp.422,2020.comp.422,16
3623,2020.comp.707,2020.comp.707,17
3624,2020.comp.707,2020.comp.300291,1
3625,2016.comp.423,2016.comp.423,21
3626,2016.comp.423,2016.comp.999,6
3627,2016.comp.423,2016.comp.600062,6
3628,2018.comp.423,2018.comp.423,26
3629,2018.comp.423,2018.comp.999,5
3630,2018.comp.423,2018.comp.963,1
3631,2018.comp.423,2018.comp.600062,5
3632,2018.comp.999,2018.comp.423,5
3633,2018.comp.999,2018.comp.999,33
3634,2018.comp.999,2018.comp.603060,1
3635,2018.comp.999,2018.comp.600062,9
3636,2018.comp.999,2018.comp.1872,1
3637,2018.comp.999,2018.comp.600422,1
3638,2019.comp.423,2019.comp.423,28
3639,2019.comp.423,2019.comp.999,8
3640,2019.comp.423,2019.comp.600062,6
3641,2019.comp.999,2019.comp.423,8
3642,2019.comp.999,2019.comp.999,27
3643,2019.comp.999,2019.comp.603060,1
3644,2019.comp.999,2019.comp.600062,9
3645,2020.comp.423,2020.comp.423,27
3646,2020.comp.423,2020.comp.999,4
3647,2020.comp.423,2020.comp.600062,4
3648,2020.comp.423,2020.comp.603939,1
3649,2020.comp.423,2020.comp.605266,1
3650,2020.comp.999,2020.comp.423,4
3651,2020.comp.999,2020.comp.999,23
3652,2020.comp.999,2020.comp.603060,1
3653,2020.comp.999,2020.comp.600062,6
3654,2020.comp.999,2020.comp.300026,1
3655,2020.comp.999,2020.comp.300583,1
3656,2019.comp.425,2019.comp.338,1
3657,2019.comp.425,2019.comp.880,1
3658,2019.comp.425,2019.comp.600166,1
3659,2019.comp.425,2019.comp.425,22
3660,2019.comp.425,2019.comp.600460,1
3661,2020.comp.425,2020.comp.338,1
3662,2020.comp.425,2020.comp.880,1
3663,2020.comp.425,2020.comp.600166,1
3664,2020.comp.425,2020.comp.425,22
3665,2020.comp.425,2020.comp.600460,1
3666,2004.comp.428,2004.comp.428,14
3667,2004.comp.428,2004.comp.600478,1
3668,2004.comp.428,2004.comp.430,1
3669,2004.comp.600478,2004.comp.428,1
3670,2004.comp.600478,2004.comp.600478,17
3671,2004.comp.600478,2004.comp.569,1
3672,2004.comp.600478,2004.comp.932,1
3673,2018.comp.429,2018.comp.429,25
3674,2018.comp.429,2018.comp.2544,1
3675,2018.comp.429,2018.comp.600277,1
3676,2018.comp.429,2018.comp.600236,1
3677,2004.comp.430,2004.comp.428,1
3678,2004.comp.430,2004.comp.430,16
3679,2004.comp.430,2004.comp.918,1
3680,2004.comp.430,2004.comp.600286,1
3681,2004.comp.156,2004.comp.156,14
3682,2005.comp.430,2005.comp.430,14
3683,2005.comp.430,2005.comp.918,1
3684,2005.comp.430,2005.comp.600286,1
3685,2005.comp.156,2005.comp.156,15
3686,2007.comp.430,2007.comp.430,15
3687,2007.comp.156,2007.comp.156,15
3688,2009.comp.488,2009.comp.488,31
3689,2009.comp.488,2009.comp.720,1
3690,2009.comp.488,2009.comp.877,1
3691,2012.comp.498,2012.comp.409,1
3692,2012.comp.498,2012.comp.921,1
3693,2012.comp.498,2012.comp.498,23
3694,2012.comp.498,2012.comp.600022,1
3695,2012.comp.498,2012.comp.720,1
3696,2012.comp.600350,2012.comp.921,1
3697,2012.comp.600350,2012.comp.600350,18
3698,2012.comp.600350,2012.comp.601188,1
3699,2012.comp.600350,2012.comp.916,2
3700,2013.comp.498,2013.comp.409,1
3701,2013.comp.498,2013.comp.921,1
3702,2013.comp.498,2013.comp.498,20
3703,2013.comp.498,2013.comp.600022,1
3704,2013.comp.498,2013.comp.720,1
3705,2013.comp.600350,2013.comp.921,1
3706,2013.comp.600350,2013.comp.600350,20
3707,2013.comp.600350,2013.comp.601188,2
3708,2013.comp.600350,2013.comp.916,2
3709,2014.comp.498,2014.comp.409,1
3710,2014.comp.498,2014.comp.921,1
3711,2014.comp.498,2014.comp.498,17
3712,2014.comp.498,2014.comp.600350,1
3713,2014.comp.498,2014.comp.600022,1
3714,2014.comp.498,2014.comp.720,1
3715,2014.comp.600350,2014.comp.921,1
3716,2014.comp.600350,2014.comp.498,1
3717,2014.comp.600350,2014.comp.600350,22
3718,2014.comp.600350,2014.comp.601188,2
3719,2014.comp.600350,2014.comp.916,2
3720,2015.comp.498,2015.comp.409,1
3721,2015.comp.498,2015.comp.498,22
3722,2015.comp.498,2015.comp.600022,1
3723,2015.comp.498,2015.comp.720,1
3724,2015.comp.498,2015.comp.921,1
3725,2015.comp.600350,2015.comp.600350,22
3726,2015.comp.600350,2015.comp.921,1
3727,2015.comp.600350,2015.comp.601188,2
3728,2015.comp.600350,2015.comp.916,1
3729,2015.comp.600350,2015.comp.603223,1
3730,2016.comp.498,2016.comp.409,1
3731,2016.comp.498,2016.comp.498,21
3732,2016.comp.498,2016.comp.600022,1
3733,2016.comp.498,2016.comp.720,1
3734,2016.comp.498,2016.comp.921,1
3735,2016.comp.600350,2016.comp.600350,29
3736,2016.comp.600350,2016.comp.851,1
3737,2016.comp.600350,2016.comp.921,1
3738,2016.comp.600350,2016.comp.601107,2
3739,2016.comp.600350,2016.comp.601188,2
3740,2016.comp.600350,2016.comp.916,2
3741,2017.comp.498,2017.comp.498,20
3742,2017.comp.498,2017.comp.921,1
3743,2017.comp.600350,2017.comp.600350,22
3744,2017.comp.600350,2017.comp.851,1
3745,2017.comp.600350,2017.comp.600012,1
3746,2017.comp.600350,2017.comp.1965,1
3747,2017.comp.600068,2017.comp.600068,32
3748,2018.comp.498,2018.comp.498,24
3749,2018.comp.498,2018.comp.600350,1
3750,2018.comp.600350,2018.comp.498,1
3751,2018.comp.600350,2018.comp.600350,22
3752,2018.comp.600350,2018.comp.1965,1
3753,2019.comp.498,2019.comp.498,25
3754,2019.comp.498,2019.comp.603041,1
3755,2019.comp.498,2019.comp.300185,1
3756,2019.comp.600350,2019.comp.600350,24
3757,2019.comp.600350,2019.comp.1965,1
3758,2019.comp.600350,2019.comp.600020,1
3759,2019.comp.600350,2019.comp.601107,1
3760,2020.comp.498,2020.comp.333,1
3761,2020.comp.498,2020.comp.498,26
3762,2020.comp.498,2020.comp.600350,1
3763,2020.comp.498,2020.comp.951,1
3764,2020.comp.498,2020.comp.600060,1
3765,2020.comp.498,2020.comp.977,1
3766,2020.comp.498,2020.comp.603041,1
3767,2020.comp.498,2020.comp.2415,1
3768,2020.comp.600350,2020.comp.498,1
3769,2020.comp.600350,2020.comp.600350,29
3770,2020.comp.600350,2020.comp.1965,1
3771,2020.comp.600350,2020.comp.600020,2
3772,2020.comp.600350,2020.comp.601188,1
3773,2015.comp.501,2015.comp.501,24
3774,2015.comp.501,2015.comp.2249,1
3775,2015.comp.501,2015.comp.2414,1
3776,2015.comp.501,2015.comp.821,1
3777,2013.comp.504,2013.comp.66,1
3778,2013.comp.504,2013.comp.504,26
3779,2013.comp.504,2013.comp.600744,1
3780,2013.comp.504,2013.comp.600979,1
3781,2019.comp.505,2019.comp.505,19
3782,2019.comp.505,2019.comp.938,1
3783,2019.comp.505,2019.comp.2186,1
3784,2019.comp.600429,2019.comp.600429,18
3785,2019.comp.600429,2019.comp.2017,1
3786,2019.comp.600429,2019.comp.2493,1
3787,2019.comp.600429,2019.comp.600051,1
3788,2019.comp.600429,2019.comp.300244,1
3789,2019.comp.600429,2019.comp.600196,2
3790,2019.comp.600429,2019.comp.600573,1
3791,2020.comp.505,2020.comp.505,15
3792,2020.comp.505,2020.comp.938,1
3793,2020.comp.505,2020.comp.2186,1
3794,2020.comp.600429,2020.comp.555,1
3795,2020.comp.600429,2020.comp.600429,24
3796,2020.comp.600429,2020.comp.600573,1
3797,2020.comp.600429,2020.comp.2017,1
3798,2020.comp.600429,2020.comp.2493,1
3799,2020.comp.600429,2020.comp.600051,1
3800,2020.comp.600429,2020.comp.600196,1
3801,2012.comp.507,2012.comp.507,26
3802,2012.comp.600096,2012.comp.600096,21
3803,2012.comp.600096,2012.comp.2265,1
3804,2012.comp.600096,2012.comp.2053,2
3805,2012.comp.600096,2012.comp.600497,1
3806,2013.comp.507,2013.comp.507,18
3807,2013.comp.600096,2013.comp.600096,37
3808,2013.comp.600096,2013.comp.2265,1
3809,2013.comp.600096,2013.comp.2053,3
3810,2013.comp.600096,2013.comp.600792,1
3811,2016.comp.510,2016.comp.510,28
3812,2003.comp.513,2003.comp.513,22
3813,2003.comp.513,2003.comp.600380,5
3814,2003.comp.600380,2003.comp.513,5
3815,2003.comp.600380,2003.comp.600380,16
3816,2004.comp.513,2004.comp.513,23
3817,2004.comp.513,2004.comp.600380,5
3818,2004.comp.600380,2004.comp.513,5
3819,2004.comp.600380,2004.comp.600380,17
3820,2005.comp.513,2005.comp.513,15
3821,2005.comp.513,2005.comp.600380,4
3822,2005.comp.600380,2005.comp.513,4
3823,2005.comp.600380,2005.comp.600380,18
3824,2006.comp.513,2006.comp.513,18
3825,2006.comp.513,2006.comp.600380,4
3826,2006.comp.600380,2006.comp.513,4
3827,2006.comp.600380,2006.comp.600380,17
3828,2007.comp.513,2007.comp.513,19
3829,2007.comp.513,2007.comp.600380,6
3830,2007.comp.600380,2007.comp.513,6
3831,2007.comp.600380,2007.comp.600380,14
3832,2008.comp.513,2008.comp.513,19
3833,2008.comp.513,2008.comp.600380,5
3834,2008.comp.513,2008.comp.600188,1
3835,2008.comp.600380,2008.comp.513,5
3836,2008.comp.600380,2008.comp.600380,12
3837,2009.comp.513,2009.comp.513,17
3838,2009.comp.513,2009.comp.600380,5
3839,2009.comp.600380,2009.comp.513,5
3840,2009.comp.600380,2009.comp.600380,12
3841,2010.comp.513,2010.comp.513,16
3842,2010.comp.513,2010.comp.600380,5
3843,2010.comp.600380,2010.comp.513,5
3844,2010.comp.600380,2010.comp.600380,12
3845,2011.comp.513,2011.comp.513,16
3846,2011.comp.513,2011.comp.600380,5
3847,2011.comp.513,2011.comp.600188,1
3848,2011.comp.600380,2011.comp.513,5
3849,2011.comp.600380,2011.comp.600380,12
3850,2012.comp.513,2012.comp.21,1
3851,2012.comp.513,2012.comp.513,16
3852,2012.comp.513,2012.comp.600380,5
3853,2012.comp.600380,2012.comp.513,5
3854,2012.comp.600380,2012.comp.600380,12
3855,2013.comp.513,2013.comp.21,1
3856,2013.comp.513,2013.comp.513,21
3857,2013.comp.513,2013.comp.600380,5
3858,2013.comp.513,2013.comp.600188,1
3859,2013.comp.513,2013.comp.601899,1
3860,2013.comp.600380,2013.comp.513,5
3861,2013.comp.600380,2013.comp.600380,13
3862,2014.comp.513,2014.comp.513,22
3863,2014.comp.513,2014.comp.600380,4
3864,2014.comp.513,2014.comp.756,1
3865,2014.comp.513,2014.comp.928,1
3866,2014.comp.513,2014.comp.600188,1
3867,2014.comp.600380,2014.comp.513,4
3868,2014.comp.600380,2014.comp.600380,13
3869,2015.comp.513,2015.comp.513,21
3870,2015.comp.513,2015.comp.600380,3
3871,2015.comp.513,2015.comp.756,1
3872,2015.comp.513,2015.comp.2017,1
3873,2015.comp.513,2015.comp.600188,1
3874,2015.comp.513,2015.comp.600185,2
3875,2015.comp.513,2015.comp.600958,1
3876,2015.comp.600380,2015.comp.513,3
3877,2015.comp.600380,2015.comp.600380,14
3878,2016.comp.513,2016.comp.513,20
3879,2016.comp.513,2016.comp.600380,3
3880,2016.comp.513,2016.comp.532,1
3881,2016.comp.513,2016.comp.2017,1
3882,2016.comp.513,2016.comp.600188,1
3883,2016.comp.600380,2016.comp.513,3
3884,2016.comp.600380,2016.comp.600380,14
3885,2016.comp.600380,2016.comp.600488,1
3886,2017.comp.513,2017.comp.513,19
3887,2017.comp.513,2017.comp.600380,3
3888,2017.comp.513,2017.comp.532,1
3889,2017.comp.513,2017.comp.2782,1
3890,2017.comp.513,2017.comp.600188,1
3891,2017.comp.600380,2017.comp.600536,1
3892,2017.comp.600380,2017.comp.513,3
3893,2017.comp.600380,2017.comp.600380,15
3894,2017.comp.600380,2017.comp.600488,1
3895,2018.comp.513,2018.comp.513,20
3896,2018.comp.513,2018.comp.600380,2
3897,2018.comp.513,2018.comp.2782,1
3898,2018.comp.600380,2018.comp.600536,1
3899,2018.comp.600380,2018.comp.513,2
3900,2018.comp.600380,2018.comp.600380,14
3901,2018.comp.600380,2018.comp.600488,1
3902,2019.comp.513,2019.comp.513,22
3903,2019.comp.513,2019.comp.600380,2
3904,2019.comp.600380,2019.comp.600536,1
3905,2019.comp.600380,2019.comp.513,2
3906,2019.comp.600380,2019.comp.600380,15
3907,2019.comp.600380,2019.comp.600488,1
3908,2019.comp.600380,2019.comp.601918,1
3909,2020.comp.513,2020.comp.513,22
3910,2020.comp.513,2020.comp.600380,3
3911,2020.comp.513,2020.comp.524,1
3912,2020.comp.513,2020.comp.600488,1
3913,2020.comp.513,2020.comp.300030,1
3914,2020.comp.600380,2020.comp.600536,1
3915,2020.comp.600380,2020.comp.513,3
3916,2020.comp.600380,2020.comp.600380,14
3917,2020.comp.600380,2020.comp.600488,1
3918,2020.comp.600380,2020.comp.601918,1
3919,2009.comp.516,2009.comp.516,16
3920,2009.comp.564,2009.comp.564,17
3921,2009.comp.564,2009.comp.721,1
3922,2009.comp.564,2009.comp.796,4
3923,2017.comp.518,2017.comp.518,21
3924,2017.comp.518,2017.comp.600220,1
3925,2017.comp.600220,2017.comp.518,1
3926,2017.comp.600220,2017.comp.600220,15
3927,2019.comp.518,2019.comp.518,12
3928,2019.comp.600220,2019.comp.600220,15
3929,2020.comp.518,2020.comp.518,18
3930,2020.comp.600220,2020.comp.600220,15
3931,2003.comp.520,2003.comp.520,24
3932,2003.comp.600028,2003.comp.600028,31
3933,2003.comp.600028,2003.comp.866,1
3934,2004.comp.520,2004.comp.520,25
3935,2004.comp.520,2004.comp.668,1
3936,2004.comp.600028,2004.comp.600028,32
3937,2004.comp.600028,2004.comp.866,1
3938,2004.comp.600028,2004.comp.600688,1
3939,2005.comp.520,2005.comp.520,19
3940,2005.comp.520,2005.comp.668,1
3941,2005.comp.520,2005.comp.819,1
3942,2005.comp.600028,2005.comp.600028,31
3943,2005.comp.600028,2005.comp.866,1
3944,2006.comp.520,2006.comp.520,20
3945,2006.comp.520,2006.comp.819,1
3946,2006.comp.600028,2006.comp.600028,40
3947,2006.comp.600028,2006.comp.600188,1
3948,2006.comp.521,2006.comp.521,15
3949,2006.comp.521,2006.comp.600839,3
3950,2006.comp.600839,2006.comp.521,3
3951,2006.comp.600839,2006.comp.600839,22
3952,2006.comp.600839,2006.comp.600651,1
3953,2007.comp.521,2007.comp.404,1
3954,2007.comp.521,2007.comp.521,16
3955,2007.comp.521,2007.comp.600839,3
3956,2007.comp.521,2007.comp.930,1
3957,2007.comp.600839,2007.comp.404,2
3958,2007.comp.600839,2007.comp.521,3
3959,2007.comp.600839,2007.comp.600839,22
3960,2007.comp.600839,2007.comp.600651,1
3961,2007.comp.522,2007.comp.522,15
3962,2007.comp.522,2007.comp.600685,1
3963,2007.comp.600332,2007.comp.600332,18
3964,2008.comp.522,2008.comp.522,14
3965,2008.comp.600332,2008.comp.422,1
3966,2008.comp.600332,2008.comp.600332,14
3967,2009.comp.522,2009.comp.522,14
3968,2009.comp.600332,2009.comp.422,1
3969,2009.comp.600332,2009.comp.600332,13
3970,2012.comp.522,2012.comp.522,14
3971,2012.comp.522,2012.comp.600332,3
3972,2012.comp.600332,2012.comp.422,1
3973,2012.comp.600332,2012.comp.522,3
3974,2012.comp.600332,2012.comp.600332,16
3975,2012.comp.600332,2012.comp.600098,1
3976,2016.comp.524,2016.comp.524,17
3977,2016.comp.524,2016.comp.2311,1
3978,2016.comp.524,2016.comp.2431,1
3979,2018.comp.524,2018.comp.524,16
3980,2018.comp.524,2018.comp.2544,1
3981,2018.comp.524,2018.comp.2431,1
3982,2020.comp.524,2020.comp.513,1
3983,2020.comp.524,2020.comp.524,20
3984,2020.comp.524,2020.comp.2544,1
3985,2020.comp.524,2020.comp.2431,1
3986,2020.comp.524,2020.comp.300176,1
3987,2008.comp.527,2008.comp.527,16
3988,2008.comp.527,2008.comp.418,2
3989,2008.comp.418,2008.comp.527,2
3990,2008.comp.418,2008.comp.418,16
3991,2019.comp.529,2019.comp.529,19
3992,2019.comp.601900,2019.comp.601900,18
3993,2019.comp.601900,2019.comp.2461,1
3994,2020.comp.529,2020.comp.529,22
3995,2020.comp.529,2020.comp.2431,1
3996,2020.comp.529,2020.comp.603898,1
3997,2020.comp.601900,2020.comp.601900,19
3998,2020.comp.601900,2020.comp.600685,1
3999,2020.comp.601900,2020.comp.2461,1
