,comp1,comp2,w
152,2015.comp.16,2015.comp.600383,1
153,2015.comp.300241,2015.comp.300241,13
154,2016.comp.16,2016.comp.16,22
155,2016.comp.16,2016.comp.69,2
156,2016.comp.16,2016.comp.601211,1
157,2016.comp.16,2016.comp.68,1
158,2016.comp.300241,2016.comp.300241,19
159,2016.comp.69,2016.comp.16,2
160,2016.comp.69,2016.comp.69,24
161,2016.comp.69,2016.comp.601668,1
162,2016.comp.69,2016.comp.601618,1
163,2003.comp.17,2003.comp.17,14
164,2003.comp.17,2003.comp.30,2
165,2003.comp.30,2003.comp.17,2
166,2003.comp.30,2003.comp.30,16
167,2007.comp.17,2007.comp.17,18
168,2007.comp.30,2007.comp.30,10
169,2018.comp.18,2018.comp.18,26
170,2018.comp.18,2018.comp.601666,1
171,2003.comp.19,2003.comp.19,18
172,2005.comp.19,2005.comp.19,17
173,2005.comp.19,2005.comp.61,3
174,2005.comp.61,2005.comp.19,3
175,2005.comp.61,2005.comp.61,22
176,2005.comp.61,2005.comp.58,1
177,2006.comp.19,2006.comp.19,16
178,2006.comp.19,2006.comp.61,2
179,2006.comp.61,2006.comp.19,2
180,2006.comp.61,2006.comp.61,21
181,2007.comp.19,2007.comp.19,16
182,2007.comp.19,2007.comp.61,2
183,2007.comp.61,2007.comp.19,2
184,2007.comp.61,2007.comp.61,21
185,2011.comp.19,2011.comp.19,19
186,2011.comp.19,2011.comp.61,1
187,2011.comp.61,2011.comp.19,1
188,2011.comp.61,2011.comp.61,23
189,2012.comp.19,2012.comp.19,21
190,2012.comp.19,2012.comp.61,1
191,2012.comp.61,2012.comp.19,1
192,2012.comp.61,2012.comp.61,22
193,2013.comp.19,2013.comp.19,17
194,2013.comp.19,2013.comp.61,1
195,2013.comp.61,2013.comp.19,1
196,2013.comp.61,2013.comp.61,29
197,2014.comp.19,2014.comp.19,18
198,2014.comp.19,2014.comp.61,1
199,2014.comp.61,2014.comp.19,1
200,2014.comp.61,2014.comp.61,25
201,2014.comp.61,2014.comp.2736,1
202,2015.comp.19,2015.comp.2736,1
203,2015.comp.19,2015.comp.19,20
204,2015.comp.19,2015.comp.23,1
205,2015.comp.61,2015.comp.2736,1
206,2015.comp.61,2015.comp.61,24
207,2017.comp.19,2017.comp.19,17
208,2017.comp.19,2017.comp.45,1
209,2017.comp.61,2017.comp.61,34
210,2018.comp.19,2018.comp.19,19
211,2018.comp.19,2018.comp.45,1
212,2018.comp.2063,2018.comp.2063,30
213,2018.comp.2063,2018.comp.2449,1
214,2018.comp.2063,2018.comp.2137,1
215,2018.comp.2063,2018.comp.601858,1
216,2019.comp.19,2019.comp.19,32
217,2019.comp.61,2019.comp.61,24
218,2019.comp.61,2019.comp.2121,1
219,2019.comp.61,2019.comp.2902,1
220,2020.comp.19,2020.comp.19,20
221,2020.comp.19,2020.comp.61,1
222,2020.comp.61,2020.comp.19,1
223,2020.comp.61,2020.comp.61,24
224,2009.comp.21,2009.comp.21,21
225,2009.comp.21,2009.comp.66,3
226,2009.comp.21,2009.comp.607,1
227,2009.comp.748,2009.comp.748,23
228,2009.comp.66,2009.comp.21,3
229,2009.comp.66,2009.comp.66,16
230,2009.comp.66,2009.comp.600057,1
231,2010.comp.21,2010.comp.21,19
232,2010.comp.21,2010.comp.66,3
233,2010.comp.21,2010.comp.607,1
234,2010.comp.66,2010.comp.21,3
235,2010.comp.66,2010.comp.66,17
236,2011.comp.21,2011.comp.21,20
237,2011.comp.21,2011.comp.66,3
238,2011.comp.21,2011.comp.607,1
239,2011.comp.66,2011.comp.21,3
240,2011.comp.66,2011.comp.66,17
241,2012.comp.21,2012.comp.21,22
242,2012.comp.21,2012.comp.66,3
243,2012.comp.21,2012.comp.513,1
244,2012.comp.21,2012.comp.731,2
245,2012.comp.66,2012.comp.21,3
246,2012.comp.66,2012.comp.66,20
247,2012.comp.66,2012.comp.300205,1
248,2012.comp.66,2012.comp.600536,2
249,2012.comp.66,2012.comp.600764,1
250,2013.comp.21,2013.comp.21,22
251,2013.comp.21,2013.comp.66,1
252,2013.comp.21,2013.comp.513,1
253,2013.comp.21,2013.comp.600775,1
254,2013.comp.21,2013.comp.731,2
255,2013.comp.21,2013.comp.600536,1
256,2013.comp.300077,2013.comp.300077,23
257,2013.comp.66,2013.comp.21,1
258,2013.comp.66,2013.comp.66,17
259,2013.comp.66,2013.comp.504,1
260,2013.comp.66,2013.comp.300205,1
261,2013.comp.66,2013.comp.600536,2
262,2013.comp.66,2013.comp.600764,1
263,2013.comp.66,2013.comp.600979,1
264,2014.comp.21,2014.comp.21,21
265,2014.comp.21,2014.comp.66,1
266,2014.comp.21,2014.comp.731,2
267,2014.comp.21,2014.comp.600536,1
268,2014.comp.21,2014.comp.2008,1
269,2014.comp.300077,2014.comp.300077,22
270,2014.comp.300077,2014.comp.555,1
271,2014.comp.66,2014.comp.21,1
272,2014.comp.66,2014.comp.66,20
273,2014.comp.66,2014.comp.733,1
274,2014.comp.66,2014.comp.600536,1
275,2014.comp.66,2014.comp.300205,1
276,2014.comp.66,2014.comp.600665,1
277,2014.comp.66,2014.comp.600764,1
278,2015.comp.21,2015.comp.21,23
279,2015.comp.21,2015.comp.66,2
280,2015.comp.21,2015.comp.731,1
281,2015.comp.21,2015.comp.600536,1
282,2015.comp.32,2015.comp.32,19
283,2015.comp.32,2015.comp.89,1
284,2015.comp.66,2015.comp.21,2
285,2015.comp.66,2015.comp.66,16
286,2015.comp.66,2015.comp.733,1
287,2015.comp.66,2015.comp.600536,1
288,2015.comp.66,2015.comp.600764,1
