0,1,2
2005.comp.17,same.manager,2005.comp.17
2007.comp.17,same.manager,2007.comp.17
2005.comp.18,same.manager,2005.comp.600685
2005.comp.18,same.manager,2005.comp.36
2005.comp.18,same.manager,2005.comp.18
2006.comp.18,same.manager,2006.comp.36
2006.comp.18,same.manager,2006.comp.18
2007.comp.18,same.manager,2007.comp.36
2007.comp.18,same.manager,2007.comp.18
2018.comp.18,same.manager,2018.comp.601666
2018.comp.18,same.manager,2018.comp.18
2003.comp.19,same.manager,2003.comp.19
2005.comp.19,same.manager,2005.comp.61
2005.comp.19,same.manager,2005.comp.19
2006.comp.19,same.manager,2006.comp.61
2006.comp.19,same.manager,2006.comp.19
2007.comp.19,same.manager,2007.comp.61
2007.comp.19,same.manager,2007.comp.19
2008.comp.19,same.manager,2008.comp.23
2008.comp.19,same.manager,2008.comp.61
2008.comp.19,same.manager,2008.comp.19
2011.comp.19,same.manager,2011.comp.61
2011.comp.19,same.manager,2011.comp.19
2012.comp.19,same.manager,2012.comp.61
2012.comp.19,same.manager,2012.comp.19
2013.comp.19,same.manager,2013.comp.61
2013.comp.19,same.manager,2013.comp.19
2014.comp.19,same.manager,2014.comp.61
2014.comp.19,same.manager,2014.comp.19
2015.comp.19,same.manager,2015.comp.2736
2015.comp.19,same.manager,2015.comp.23
2015.comp.19,same.manager,2015.comp.19
2017.comp.19,same.manager,2017.comp.45
2017.comp.19,same.manager,2017.comp.19
2018.comp.19,same.manager,2018.comp.45
2018.comp.19,same.manager,2018.comp.19
2019.comp.19,same.manager,2019.comp.19
2020.comp.19,same.manager,2020.comp.61
2020.comp.19,same.manager,2020.comp.19
2008.comp.21,same.manager,2008.comp.66
2008.comp.21,same.manager,2008.comp.21
2009.comp.21,same.manager,2009.comp.607
2009.comp.21,same.manager,2009.comp.66
2009.comp.21,same.manager,2009.comp.21
2010.comp.21,same.manager,2010.comp.607
2010.comp.21,same.manager,2010.comp.66
2010.comp.21,same.manager,2010.comp.21
2011.comp.21,same.manager,2011.comp.607
2011.comp.21,same.manager,2011.comp.66
2011.comp.21,same.manager,2011.comp.21
2012.comp.21,same.manager,2012.comp.513
2012.comp.21,same.manager,2012.comp.731
2012.comp.21,same.manager,2012.comp.66
2012.comp.21,same.manager,2012.comp.21
2013.comp.21,same.manager,2013.comp.600536
2013.comp.21,same.manager,2013.comp.66
2013.comp.21,same.manager,2013.comp.600775
2013.comp.21,same.manager,2013.comp.513
2013.comp.21,same.manager,2013.comp.731
2013.comp.21,same.manager,2013.comp.21
2014.comp.21,same.manager,2014.comp.2008
2014.comp.21,same.manager,2014.comp.600536
2014.comp.21,same.manager,2014.comp.731
2014.comp.21,same.manager,2014.comp.66
2014.comp.21,same.manager,2014.comp.21
2015.comp.21,same.manager,2015.comp.731
