0,1,2
2013.comp.22,relatedTransaction,2013.comp.200053
2014.comp.22,relatedTransaction,2014.comp.200053
2015.comp.22,relatedTransaction,2015.comp.200053
2016.comp.22,relatedTransaction,2016.comp.200053
2017.comp.22,relatedTransaction,2017.comp.200053
2018.comp.22,relatedTransaction,2018.comp.1965
2008.comp.23,relatedTransaction,2008.comp.23
2012.comp.23,relatedTransaction,2012.comp.23
2013.comp.23,relatedTransaction,2013.comp.23
2015.comp.23,relatedTransaction,2015.comp.23
1999.comp.24,relatedTransaction,1999.comp.4
2000.comp.24,relatedTransaction,2000.comp.4
2008.comp.24,relatedTransaction,2008.comp.600036
2012.comp.24,relatedTransaction,2012.comp.600036
2013.comp.24,relatedTransaction,2013.comp.600036
2014.comp.24,relatedTransaction,2014.comp.600036
2014.comp.24,relatedTransaction,2014.comp.600999
2014.comp.24,relatedTransaction,2014.comp.24
2015.comp.24,relatedTransaction,2015.comp.1979
2019.comp.25,relatedTransaction,2019.comp.300917
2020.comp.25,relatedTransaction,2020.comp.300917
2021.comp.25,relatedTransaction,2021.comp.300917
2008.comp.26,relatedTransaction,2008.comp.2419
2008.comp.26,relatedTransaction,2008.comp.43
2009.comp.26,relatedTransaction,2009.comp.2419
2009.comp.26,relatedTransaction,2009.comp.43
2010.comp.26,relatedTransaction,2010.comp.2419
2011.comp.26,relatedTransaction,2011.comp.2419
2011.comp.26,relatedTransaction,2011.comp.43
2012.comp.26,relatedTransaction,2012.comp.2419
2012.comp.26,relatedTransaction,2012.comp.43
2013.comp.26,relatedTransaction,2013.comp.300114
2013.comp.26,relatedTransaction,2013.comp.2419
2013.comp.26,relatedTransaction,2013.comp.43
2014.comp.26,relatedTransaction,2014.comp.300114
2014.comp.26,relatedTransaction,2014.comp.2419
2014.comp.26,relatedTransaction,2014.comp.43
2015.comp.26,relatedTransaction,2015.comp.2419
2015.comp.26,relatedTransaction,2015.comp.2916
2015.comp.26,relatedTransaction,2015.comp.43
2016.comp.26,relatedTransaction,2016.comp.2419
2016.comp.26,relatedTransaction,2016.comp.43
2017.comp.26,relatedTransaction,2017.comp.2419
2017.comp.26,relatedTransaction,2017.comp.43
2018.comp.26,relatedTransaction,2018.comp.2419
2018.comp.26,relatedTransaction,2018.comp.2916
2018.comp.26,relatedTransaction,2018.comp.43
2019.comp.26,relatedTransaction,2019.comp.2419
2019.comp.26,relatedTransaction,2019.comp.50
2019.comp.26,relatedTransaction,2019.comp.2916
2019.comp.26,relatedTransaction,2019.comp.1914
2020.comp.26,relatedTransaction,2020.comp.2419
2020.comp.26,relatedTransaction,2020.comp.50
2020.comp.26,relatedTransaction,2020.comp.2916
2020.comp.26,relatedTransaction,2020.comp.1914
2008.comp.27,relatedTransaction,2008.comp.37
2009.comp.27,relatedTransaction,2009.comp.37
2010.comp.27,relatedTransaction,2010.comp.37
2011.comp.27,relatedTransaction,2011.comp.37
2011.comp.27,relatedTransaction,2011.comp.88
2012.comp.27,relatedTransaction,2012.comp.27
2012.comp.27,relatedTransaction,2012.comp.600011
2013.comp.27,relatedTransaction,2013.comp.37
2013.comp.27,relatedTransaction,2013.comp.27
2015.comp.27,relatedTransaction,2015.comp.2939
2016.comp.27,relatedTransaction,2016.comp.601211
2017.comp.27,relatedTransaction,2017.comp.601211
2018.comp.27,relatedTransaction,2018.comp.2939
2019.comp.27,relatedTransaction,2019.comp.2939
2019.comp.27,relatedTransaction,2019.comp.601211
2020.comp.27,relatedTransaction,2020.comp.2939
2021.comp.27,relatedTransaction,2021.comp.2939
2022.comp.27,relatedTransaction,2022.comp.2939
1998.comp.28,relatedTransaction,1998.comp.19
1999.comp.28,relatedTransaction,1999.comp.19
2000.comp.28,relatedTransaction,2000.comp.19
2001.comp.28,relatedTransaction,2001.comp.19
2005.comp.28,relatedTransaction,2005.comp.600511
2006.comp.28,relatedTransaction,2006.comp.600511
2007.comp.28,relatedTransaction,2007.comp.600511
2008.comp.28,relatedTransaction,2008.comp.600511
2009.comp.28,relatedTransaction,2009.comp.600511
2010.comp.28,relatedTransaction,2010.comp.600511
2011.comp.28,relatedTransaction,2011.comp.600511
2011.comp.28,relatedTransaction,2011.comp.600420
2012.comp.28,relatedTransaction,2012.comp.600511
2012.comp.28,relatedTransaction,2012.comp.600420
2013.comp.28,relatedTransaction,2013.comp.600511
2013.comp.28,relatedTransaction,2013.comp.600420
2013.comp.28,relatedTransaction,2013.comp.600161
2014.comp.28,relatedTransaction,2014.comp.600511
2014.comp.28,relatedTransaction,2014.comp.600420
2015.comp.28,relatedTransaction,2015.comp.28
2015.comp.28,relatedTransaction,2015.comp.600511
2015.comp.28,relatedTransaction,2015.comp.600420
2016.comp.28,relatedTransaction,2016.comp.600511
2016.comp.28,relatedTransaction,2016.comp.600420
2016.comp.28,relatedTransaction,2016.comp.600161
2017.comp.28,relatedTransaction,2017.comp.600511
2017.comp.28,relatedTransaction,2017.comp.600420
2018.comp.28,relatedTransaction,2018.comp.600511
2018.comp.28,relatedTransaction,2018.comp.600420
2018.comp.28,relatedTransaction,2018.comp.600513
2019.comp.28,relatedTransaction,2019.comp.600511
2019.comp.28,relatedTransaction,2019.comp.600420
2020.comp.28,relatedTransaction,2020.comp.600511
2020.comp.28,relatedTransaction,2020.comp.600420
2021.comp.28,relatedTransaction,2021.comp.600511
2010.comp.29,relatedTransaction,2010.comp.29
1998.comp.30,relatedTransaction,1998.comp.17
1999.comp.30,relatedTransaction,1999.comp.17
2000.comp.30,relatedTransaction,2000.comp.17
2002.comp.30,relatedTransaction,2002.comp.17
2003.comp.30,relatedTransaction,2003.comp.17
2004.comp.30,relatedTransaction,2004.comp.17
2005.comp.30,relatedTransaction,2005.comp.17
2006.comp.30,relatedTransaction,2006.comp.17
2013.comp.30,relatedTransaction,2013.comp.800
2013.comp.30,relatedTransaction,2013.comp.2232
2013.comp.30,relatedTransaction,2013.comp.927
2013.comp.30,relatedTransaction,2013.comp.600742
2013.comp.30,relatedTransaction,2013.comp.30
2014.comp.30,relatedTransaction,2014.comp.927
2014.comp.30,relatedTransaction,2014.comp.2232
2014.comp.30,relatedTransaction,2014.comp.600742
2014.comp.30,relatedTransaction,2014.comp.800
2015.comp.30,relatedTransaction,2015.comp.600742
2015.comp.30,relatedTransaction,2015.comp.2232
2015.comp.30,relatedTransaction,2015.comp.800
2015.comp.30,relatedTransaction,2015.comp.927
2016.comp.30,relatedTransaction,2016.comp.600742
2016.comp.30,relatedTransaction,2016.comp.2232
2016.comp.30,relatedTransaction,2016.comp.800
2016.comp.30,relatedTransaction,2016.comp.927
2017.comp.30,relatedTransaction,2017.comp.2232
2017.comp.30,relatedTransaction,2017.comp.600742
2017.comp.30,relatedTransaction,2017.comp.800
2017.comp.30,relatedTransaction,2017.comp.927
2018.comp.30,relatedTransaction,2018.comp.600742
2018.comp.30,relatedTransaction,2018.comp.2232
2018.comp.30,relatedTransaction,2018.comp.800
2018.comp.30,relatedTransaction,2018.comp.927
2019.comp.30,relatedTransaction,2019.comp.2048
2019.comp.30,relatedTransaction,2019.comp.2920
2019.comp.30,relatedTransaction,2019.comp.2232
2019.comp.30,relatedTransaction,2019.comp.600742
2019.comp.30,relatedTransaction,2019.comp.800
2019.comp.30,relatedTransaction,2019.comp.927
2020.comp.30,relatedTransaction,2020.comp.600742
2020.comp.30,relatedTransaction,2020.comp.927
2021.comp.30,relatedTransaction,2021.comp.600742
2012.comp.31,relatedTransaction,2012.comp.31
2012.comp.31,relatedTransaction,2012.comp.600737
2013.comp.31,relatedTransaction,2013.comp.600737
2015.comp.31,relatedTransaction,2015.comp.600737
2016.comp.31,relatedTransaction,2016.comp.930
2017.comp.31,relatedTransaction,2017.comp.600376
2018.comp.31,relatedTransaction,2018.comp.930
2018.comp.31,relatedTransaction,2018.comp.600376
2019.comp.31,relatedTransaction,2019.comp.930
2019.comp.31,relatedTransaction,2019.comp.31
2020.comp.31,relatedTransaction,2020.comp.2423
2020.comp.31,relatedTransaction,2020.comp.930
2007.comp.32,relatedTransaction,2007.comp.66
2008.comp.32,relatedTransaction,2008.comp.66
2009.comp.32,relatedTransaction,2009.comp.66
2011.comp.32,relatedTransaction,2011.comp.66
2013.comp.32,relatedTransaction,2013.comp.66
2014.comp.32,relatedTransaction,2014.comp.66
2015.comp.32,relatedTransaction,2015.comp.66
2015.comp.32,relatedTransaction,2015.comp.21
2016.comp.32,relatedTransaction,2016.comp.66
2017.comp.32,relatedTransaction,2017.comp.66
2018.comp.32,relatedTransaction,2018.comp.66
2019.comp.32,relatedTransaction,2019.comp.66
2021.comp.32,relatedTransaction,2021.comp.600536
2016.comp.34,relatedTransaction,2016.comp.555
2017.comp.34,relatedTransaction,2017.comp.555
2018.comp.34,relatedTransaction,2018.comp.555
2019.comp.34,relatedTransaction,2019.comp.555
2019.comp.34,relatedTransaction,2019.comp.2642
2020.comp.34,relatedTransaction,2020.comp.2642
2020.comp.34,relatedTransaction,2020.comp.555
2005.comp.35,relatedTransaction,2005.comp.2594
2005.comp.35,relatedTransaction,2005.comp.600773
2006.comp.35,relatedTransaction,2006.comp.600773
2005.comp.36,relatedTransaction,2005.comp.18
2006.comp.36,relatedTransaction,2006.comp.18
2007.comp.36,relatedTransaction,2007.comp.18
2015.comp.36,relatedTransaction,2015.comp.300178
2016.comp.36,relatedTransaction,2016.comp.300178
2009.comp.37,relatedTransaction,2009.comp.27
2010.comp.37,relatedTransaction,2010.comp.27
2011.comp.37,relatedTransaction,2011.comp.27
2013.comp.37,relatedTransaction,2013.comp.27
2019.comp.37,relatedTransaction,2019.comp.27
2017.comp.39,relatedTransaction,2017.comp.1979
2018.comp.39,relatedTransaction,2018.comp.1979
2019.comp.39,relatedTransaction,2019.comp.1979
2020.comp.39,relatedTransaction,2020.comp.1979
2006.comp.40,relatedTransaction,2006.comp.40
2007.comp.40,relatedTransaction,2007.comp.40
2012.comp.40,relatedTransaction,2012.comp.9
2013.comp.40,relatedTransaction,2013.comp.9
1998.comp.42,relatedTransaction,1998.comp.6
2000.comp.42,relatedTransaction,2000.comp.6
2002.comp.42,relatedTransaction,2002.comp.11
2003.comp.42,relatedTransaction,2003.comp.14
2003.comp.42,relatedTransaction,2003.comp.11
2004.comp.42,relatedTransaction,2004.comp.11
2004.comp.42,relatedTransaction,2004.comp.14
2005.comp.42,relatedTransaction,2005.comp.11
2005.comp.42,relatedTransaction,2005.comp.14
2006.comp.42,relatedTransaction,2006.comp.14
2006.comp.42,relatedTransaction,2006.comp.11
2005.comp.43,relatedTransaction,2005.comp.26
2006.comp.43,relatedTransaction,2006.comp.26
2008.comp.43,relatedTransaction,2008.comp.50
2008.comp.43,relatedTransaction,2008.comp.26
2009.comp.43,relatedTransaction,2009.comp.2419
2009.comp.43,relatedTransaction,2009.comp.26
2009.comp.43,relatedTransaction,2009.comp.50
2010.comp.43,relatedTransaction,2010.comp.2419
2007.comp.43,relatedTransaction,2007.comp.2419
2010.comp.43,relatedTransaction,2010.comp.50
2010.comp.43,relatedTransaction,2010.comp.26
2011.comp.43,relatedTransaction,2011.comp.2419
2011.comp.43,relatedTransaction,2011.comp.26
2011.comp.43,relatedTransaction,2011.comp.50
2012.comp.43,relatedTransaction,2012.comp.26
2007.comp.43,relatedTransaction,2007.comp.26
2012.comp.43,relatedTransaction,2012.comp.2419
2012.comp.43,relatedTransaction,2012.comp.50
2013.comp.43,relatedTransaction,2013.comp.2419
2013.comp.43,relatedTransaction,2013.comp.50
2013.comp.43,relatedTransaction,2013.comp.26
2014.comp.43,relatedTransaction,2014.comp.2419
2014.comp.43,relatedTransaction,2014.comp.50
2014.comp.43,relatedTransaction,2014.comp.26
2015.comp.43,relatedTransaction,2015.comp.26
2015.comp.43,relatedTransaction,2015.comp.2419
2015.comp.43,relatedTransaction,2015.comp.50
2016.comp.43,relatedTransaction,2016.comp.2419
2016.comp.43,relatedTransaction,2016.comp.26
2016.comp.43,relatedTransaction,2016.comp.50
2017.comp.43,relatedTransaction,2017.comp.2419
2017.comp.43,relatedTransaction,2017.comp.26
2017.comp.43,relatedTransaction,2017.comp.50
2017.comp.43,relatedTransaction,2017.comp.43
2018.comp.43,relatedTransaction,2018.comp.26
2018.comp.43,relatedTransaction,2018.comp.2419
2018.comp.43,relatedTransaction,2018.comp.50
2019.comp.43,relatedTransaction,2019.comp.1979
1998.comp.45,relatedTransaction,1998.comp.30
2001.comp.45,relatedTransaction,2001.comp.30
2002.comp.45,relatedTransaction,2002.comp.30
2003.comp.45,relatedTransaction,2003.comp.30
2012.comp.45,relatedTransaction,2012.comp.50
2013.comp.45,relatedTransaction,2013.comp.50
2014.comp.45,relatedTransaction,2014.comp.50
2015.comp.45,relatedTransaction,2015.comp.50
