index,0
307,2013.comp.600737
308,2015.comp.31
309,2015.comp.600737
310,2016.comp.31
311,2016.comp.930
312,2017.comp.31
313,2017.comp.600376
314,2018.comp.31
315,2018.comp.930
316,2018.comp.600376
317,2019.comp.31
318,2019.comp.930
319,2020.comp.31
320,2020.comp.2423
321,2020.comp.930
322,2007.comp.32
323,2007.comp.66
324,2008.comp.32
325,2008.comp.66
326,2009.comp.32
327,2011.comp.32
328,2013.comp.32
329,2014.comp.32
330,2016.comp.32
331,2017.comp.32
332,2018.comp.32
333,2019.comp.32
334,2016.comp.34
335,2016.comp.555
336,2017.comp.34
337,2017.comp.555
338,2018.comp.34
339,2018.comp.555
340,2019.comp.34
341,2019.comp.555
342,2019.comp.2642
343,2020.comp.34
344,2020.comp.2642
345,2020.comp.555
346,2005.comp.35
347,2005.comp.600773
348,2006.comp.35
349,2006.comp.600773
350,2005.comp.36
351,2005.comp.18
352,2006.comp.36
353,2006.comp.18
354,2007.comp.36
355,2007.comp.18
356,2015.comp.36
357,2015.comp.300178
358,2016.comp.36
359,2016.comp.300178
360,2019.comp.37
361,2019.comp.27
362,2017.comp.39
363,2017.comp.1979
364,2018.comp.39
365,2018.comp.1979
366,2019.comp.39
367,2019.comp.1979
368,2020.comp.39
369,2020.comp.1979
370,2006.comp.40
371,2007.comp.40
372,2013.comp.40
373,2013.comp.9
374,2003.comp.42
375,2003.comp.14
376,2003.comp.11
377,2004.comp.42
378,2004.comp.11
379,2004.comp.14
380,2005.comp.42
381,2005.comp.11
382,2005.comp.14
383,2006.comp.42
384,2006.comp.14
385,2006.comp.11
386,2005.comp.43
387,2005.comp.26
388,2006.comp.43
389,2006.comp.26
390,2008.comp.50
391,2009.comp.50
392,2010.comp.43
393,2010.comp.50
394,2011.comp.50
395,2007.comp.43
396,2007.comp.26
397,2012.comp.50
398,2013.comp.50
399,2014.comp.50
400,2015.comp.50
401,2016.comp.50
402,2017.comp.50
403,2018.comp.50
404,2003.comp.45
405,2012.comp.45
406,2013.comp.45
407,2014.comp.45
408,2015.comp.45
409,2016.comp.45
410,2017.comp.45
411,2018.comp.45
412,2019.comp.45
413,2020.comp.45
414,2012.comp.46
415,2012.comp.416
416,2012.comp.600016
