in_node,out_node,0
2003.comp.11,2003.comp.42,2
2003.comp.14,2003.comp.42,1
2003.comp.150,2003.comp.600657,1
2003.comp.156,2003.comp.600286,1
2003.comp.159,2003.comp.600737,1
2003.comp.16,2003.comp.69,1
2003.comp.17,2003.comp.19,1
2003.comp.17,2003.comp.30,1
2003.comp.200053,2003.comp.22,2
2003.comp.30,2003.comp.17,1
2003.comp.30,2003.comp.19,2
2003.comp.30,2003.comp.45,1
2003.comp.400,2003.comp.723,2
2003.comp.403,2003.comp.999,2
2003.comp.404,2003.comp.921,1
2003.comp.429,2003.comp.88,1
2003.comp.48,2003.comp.600842,1
2003.comp.530,2003.comp.600346,2
2003.comp.547,2003.comp.600225,2
2003.comp.547,2003.comp.600802,1
2003.comp.549,2003.comp.600371,1
2003.comp.570,2003.comp.600166,2
2003.comp.58,2003.comp.7,3
2003.comp.583,2003.comp.805,1
2003.comp.591,2003.comp.600666,2
2003.comp.592,2003.comp.600767,4
2003.comp.598,2003.comp.838,1
2003.comp.600006,2003.comp.600081,2
2003.comp.600011,2003.comp.534,1
2003.comp.600019,2003.comp.600845,11
2003.comp.600026,2003.comp.600896,2
2003.comp.600028,2003.comp.520,6
2003.comp.600028,2003.comp.554,1
2003.comp.600028,2003.comp.600871,4
2003.comp.600028,2003.comp.609,5
2003.comp.600028,2003.comp.637,3
2003.comp.600028,2003.comp.783,1
2003.comp.600028,2003.comp.866,2
2003.comp.600028,2003.comp.956,1
2003.comp.600076,2003.comp.150,1
2003.comp.600083,2003.comp.828,5
2003.comp.600086,2003.comp.600275,1
2003.comp.600089,2003.comp.600888,2
2003.comp.600090,2003.comp.600778,1
2003.comp.600094,2003.comp.600648,1
2003.comp.600097,2003.comp.607,2
2003.comp.600100,2003.comp.600590,2
2003.comp.600100,2003.comp.990,2
2003.comp.600102,2003.comp.600784,3
2003.comp.600103,2003.comp.600163,1
2003.comp.600129,2003.comp.591,5
2003.comp.600153,2003.comp.600870,6
2003.comp.600176,2003.comp.786,1
2003.comp.600198,2003.comp.851,5
2003.comp.600203,2003.comp.600696,1
2003.comp.600216,2003.comp.600797,4
2003.comp.600218,2003.comp.600166,3
2003.comp.600225,2003.comp.600772,1
